experiment	id	split	query	expectedDomain	relevantSections	rank	source	section	domain	chunkIndex	score
mxbai-embed-large/原始语料	A01	acceptance	线程池打满	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:7]	20	kafka-consumer-lag.md	4. Consumer 与 Partition	kafka	3	0.358690093716684
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	1	thread-pool-exhaustion.md	1. 线程池饱和是什么	thread-pool	0	0.6570148885517291
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	2	thread-pool-exhaustion.md	3. 常见原因	thread-pool	2	0.6493237258616332
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	3	thread-pool-exhaustion.md	2. 典型异常现象	thread-pool	1	0.6467041408948934
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	4	mysql-slow-query.md	3. 常见慢查询原因	mysql	2	0.6424156662202724
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	5	mysql-slow-query.md	2. 数据库连接池异常	mysql	1	0.6417656967919645
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	6	mysql-slow-query.md	7. 处理原则	mysql	6	0.6359623942465022
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	7	mysql-slow-query.md	6. 判断原则	mysql	5	0.630503742574771
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	8	thread-pool-exhaustion.md	7. 处理原则	thread-pool	6	0.6304571473053922
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	9	thread-pool-exhaustion.md	6. 判断原则	thread-pool	5	0.6246170924255077
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	10	mysql-slow-query.md	5. 推荐排查顺序	mysql	4	0.6126022070402779
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	11	mysql-slow-query.md	4. 对 Java 服务的影响	mysql	3	0.6089035246063793
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	12	thread-pool-exhaustion.md	4. 推荐排查顺序	thread-pool	3	0.6076793413926914
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	13	mysql-slow-query.md	1. 数据库变慢是什么	mysql	0	0.5847912329684593
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	14	thread-pool-exhaustion.md	5. 与 Kafka 消费的关系	thread-pool	4	0.551402155762481
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	15	kafka-consumer-lag.md	3. 常见原因	kafka	2	0.5021044163014894
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	16	kafka-consumer-lag.md	2. 如何判断真正存在消费积压	kafka	1	0.4941259044033653
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	17	kafka-consumer-lag.md	6. 判断原则	kafka	5	0.4895330977996784
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	18	kafka-consumer-lag.md	4. Consumer 与 Partition	kafka	3	0.4888459470639494
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	19	kafka-consumer-lag.md	7. 处理原则	kafka	6	0.4817332381805145
mxbai-embed-large/原始语料	A02	acceptance	执行器没有空闲线程	thread-pool	[thread-pool:1, thread-pool:2]	20	kafka-consumer-lag.md	5. 推荐排查顺序	kafka	4	0.4808993396463055
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	1	thread-pool-exhaustion.md	5. 与 Kafka 消费的关系	thread-pool	4	0.7688911190298536
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	2	kafka-consumer-lag.md	5. 推荐排查顺序	kafka	4	0.6922865097351975
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	3	kafka-consumer-lag.md	7. 处理原则	kafka	6	0.685050923523253
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	4	kafka-consumer-lag.md	6. 判断原则	kafka	5	0.6788276647123939
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	5	kafka-consumer-lag.md	4. Consumer 与 Partition	kafka	3	0.6782602667808533
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	6	kafka-consumer-lag.md	2. 如何判断真正存在消费积压	kafka	1	0.6773241950676337
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	7	kafka-consumer-lag.md	3. 常见原因	kafka	2	0.6756195836692503
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	8	kafka-consumer-lag.md	1. Consumer Lag 是什么	kafka	0	0.6315521597862244
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	9	thread-pool-exhaustion.md	3. 常见原因	thread-pool	2	0.5856565237045288
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	10	thread-pool-exhaustion.md	7. 处理原则	thread-pool	6	0.5680237493543366
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	11	thread-pool-exhaustion.md	4. 推荐排查顺序	thread-pool	3	0.5567959547042847
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	12	thread-pool-exhaustion.md	6. 判断原则	thread-pool	5	0.5483189494419733
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	13	thread-pool-exhaustion.md	2. 典型异常现象	thread-pool	1	0.5346150120863336
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	14	mysql-slow-query.md	4. 对 Java 服务的影响	mysql	3	0.5238762781693779
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	15	mysql-slow-query.md	2. 数据库连接池异常	mysql	1	0.5222497012912908
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	16	thread-pool-exhaustion.md	1. 线程池饱和是什么	thread-pool	0	0.5203808701151871
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	17	mysql-slow-query.md	7. 处理原则	mysql	6	0.5187551975250244
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	18	mysql-slow-query.md	6. 判断原则	mysql	5	0.5113133192062378
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	19	mysql-slow-query.md	5. 推荐排查顺序	mysql	4	0.49037182331085205
mxbai-embed-large/原始语料	A03	acceptance	Kafka 消费积压	kafka	[kafka:2, kafka:3, kafka:6]	20	mysql-slow-query.md	3. 常见慢查询原因	mysql	2	0.48903532228189805
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	1	thread-pool-exhaustion.md	2. 典型异常现象	thread-pool	1	0.6158588528633161
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	2	thread-pool-exhaustion.md	3. 常见原因	thread-pool	2	0.6076720590786909
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	3	thread-pool-exhaustion.md	1. 线程池饱和是什么	thread-pool	0	0.6020684062818191
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	4	thread-pool-exhaustion.md	7. 处理原则	thread-pool	6	0.594598686373165
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	5	mysql-slow-query.md	7. 处理原则	mysql	6	0.5761080040867337
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	6	thread-pool-exhaustion.md	4. 推荐排查顺序	thread-pool	3	0.5611452125820401
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	7	mysql-slow-query.md	6. 判断原则	mysql	5	0.5603995585203444
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	8	mysql-slow-query.md	3. 常见慢查询原因	mysql	2	0.5562328862021295
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	9	mysql-slow-query.md	4. 对 Java 服务的影响	mysql	3	0.5551423960754399
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	10	thread-pool-exhaustion.md	6. 判断原则	thread-pool	5	0.554571145228011
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	11	mysql-slow-query.md	2. 数据库连接池异常	mysql	1	0.5464580384765974
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	12	thread-pool-exhaustion.md	5. 与 Kafka 消费的关系	thread-pool	4	0.5438726978339963
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	13	mysql-slow-query.md	5. 推荐排查顺序	mysql	4	0.527888743407206
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	14	kafka-consumer-lag.md	7. 处理原则	kafka	6	0.5264170138338787
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	15	kafka-consumer-lag.md	6. 判断原则	kafka	5	0.5226702405613888
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	16	mysql-slow-query.md	1. 数据库变慢是什么	mysql	0	0.5184628080405561
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	17	kafka-consumer-lag.md	2. 如何判断真正存在消费积压	kafka	1	0.5171123722657713
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	18	kafka-consumer-lag.md	5. 推荐排查顺序	kafka	4	0.49435922570714647
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	19	kafka-consumer-lag.md	3. 常见原因	kafka	2	0.4886464615446252
mxbai-embed-large/原始语料	A04	acceptance	生产速度高于消费速度	kafka	[kafka:2, kafka:6]	20	kafka-consumer-lag.md	4. Consumer 与 Partition	kafka	3	0.4850475797028801
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	1	thread-pool-exhaustion.md	2. 典型异常现象	thread-pool	1	0.44001185536455323
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	2	thread-pool-exhaustion.md	3. 常见原因	thread-pool	2	0.43267032504081726
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	3	mysql-slow-query.md	7. 处理原则	mysql	6	0.4317176043987274
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	4	mysql-slow-query.md	6. 判断原则	mysql	5	0.42038413882255554
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	5	mysql-slow-query.md	2. 数据库连接池异常	mysql	1	0.4147494333683798
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	6	mysql-slow-query.md	4. 对 Java 服务的影响	mysql	3	0.41391674197216455
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	7	mysql-slow-query.md	3. 常见慢查询原因	mysql	2	0.4055770700195809
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	8	thread-pool-exhaustion.md	7. 处理原则	thread-pool	6	0.40409101892602955
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	9	mysql-slow-query.md	5. 推荐排查顺序	mysql	4	0.4010469317436218
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	10	thread-pool-exhaustion.md	5. 与 Kafka 消费的关系	thread-pool	4	0.3907941994307698
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	11	thread-pool-exhaustion.md	4. 推荐排查顺序	thread-pool	3	0.3872074782848358
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	12	thread-pool-exhaustion.md	6. 判断原则	thread-pool	5	0.38653657516619183
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	13	mysql-slow-query.md	1. 数据库变慢是什么	mysql	0	0.3852946919554132
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	14	thread-pool-exhaustion.md	1. 线程池饱和是什么	thread-pool	0	0.38143507782921443
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	15	kafka-consumer-lag.md	6. 判断原则	kafka	5	0.3602399361419627
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	16	kafka-consumer-lag.md	7. 处理原则	kafka	6	0.3543563571955951
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	17	kafka-consumer-lag.md	3. 常见原因	kafka	2	0.35068639378047284
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	18	kafka-consumer-lag.md	5. 推荐排查顺序	kafka	4	0.34168211569296686
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	19	kafka-consumer-lag.md	2. 如何判断真正存在消费积压	kafka	1	0.3380467690201545
mxbai-embed-large/原始语料	A05	acceptance	数据库查询越来越慢	mysql	[mysql:1, mysql:3, mysql:7]	20	kafka-consumer-lag.md	4. Consumer 与 Partition	kafka	3	0.3326272666454315
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	1	thread-pool-exhaustion.md	2. 典型异常现象	thread-pool	1	0.4537372859559834
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	2	thread-pool-exhaustion.md	3. 常见原因	thread-pool	2	0.4432819187641144
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	3	mysql-slow-query.md	7. 处理原则	mysql	6	0.4420573115348816
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	4	mysql-slow-query.md	6. 判断原则	mysql	5	0.4414825439453125
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	5	mysql-slow-query.md	2. 数据库连接池异常	mysql	1	0.42723505821646257
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	6	thread-pool-exhaustion.md	7. 处理原则	thread-pool	6	0.4267338426987968
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	7	mysql-slow-query.md	5. 推荐排查顺序	mysql	4	0.42221975326538086
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	8	mysql-slow-query.md	4. 对 Java 服务的影响	mysql	3	0.41800767672016237
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	9	mysql-slow-query.md	3. 常见慢查询原因	mysql	2	0.41754434265592943
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	10	thread-pool-exhaustion.md	1. 线程池饱和是什么	thread-pool	0	0.41038553149657064
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	11	thread-pool-exhaustion.md	6. 判断原则	thread-pool	5	0.40904531424967633
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	12	thread-pool-exhaustion.md	5. 与 Kafka 消费的关系	thread-pool	4	0.40878657724817347
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	13	thread-pool-exhaustion.md	4. 推荐排查顺序	thread-pool	3	0.4039077162742615
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	14	mysql-slow-query.md	1. 数据库变慢是什么	mysql	0	0.40363081140885776
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	15	kafka-consumer-lag.md	6. 判断原则	kafka	5	0.3811822391965701
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	16	kafka-consumer-lag.md	3. 常见原因	kafka	2	0.3750721477079653
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	17	kafka-consumer-lag.md	2. 如何判断真正存在消费积压	kafka	1	0.3736812845658497
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	18	kafka-consumer-lag.md	5. 推荐排查顺序	kafka	4	0.36927602474236404
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	19	kafka-consumer-lag.md	7. 处理原则	kafka	6	0.3688516396968586
mxbai-embed-large/原始语料	A06	acceptance	连接池快满了	mysql	[mysql:2, mysql:6]	20	kafka-consumer-lag.md	4. Consumer 与 Partition	kafka	3	0.35597464442253113
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	1	thread-pool-exhaustion.md	3. 常见原因	thread-pool	2	0.5829413185750663
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	2	thread-pool-exhaustion.md	2. 典型异常现象	thread-pool	1	0.5546035766601601
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	3	mysql-slow-query.md	6. 判断原则	mysql	5	0.5541941193226515
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	4	mysql-slow-query.md	7. 处理原则	mysql	6	0.5531095532709637
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	5	mysql-slow-query.md	4. 对 Java 服务的影响	mysql	3	0.5459479038777466
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	6	mysql-slow-query.md	2. 数据库连接池异常	mysql	1	0.5394855463198239
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	7	thread-pool-exhaustion.md	7. 处理原则	thread-pool	6	0.5268109754807423
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	8	mysql-slow-query.md	3. 常见慢查询原因	mysql	2	0.5263222612834709
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	9	thread-pool-exhaustion.md	4. 推荐排查顺序	thread-pool	3	0.5184077907557622
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	10	thread-pool-exhaustion.md	1. 线程池饱和是什么	thread-pool	0	0.5131285037658085
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	11	mysql-slow-query.md	5. 推荐排查顺序	mysql	4	0.5125248722717252
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	12	thread-pool-exhaustion.md	6. 判断原则	thread-pool	5	0.5073873391881777
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	13	mysql-slow-query.md	1. 数据库变慢是什么	mysql	0	0.5060575310026209
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	14	thread-pool-exhaustion.md	5. 与 Kafka 消费的关系	thread-pool	4	0.5051096527245764
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	15	kafka-consumer-lag.md	6. 判断原则	kafka	5	0.4753853664031919
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	16	kafka-consumer-lag.md	2. 如何判断真正存在消费积压	kafka	1	0.45807606481599034
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	17	kafka-consumer-lag.md	3. 常见原因	kafka	2	0.4564893057783917
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	18	kafka-consumer-lag.md	7. 处理原则	kafka	6	0.4547151083093752
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	19	kafka-consumer-lag.md	1. Consumer Lag 是什么	kafka	0	0.4543580440069419
mxbai-embed-large/原始语料	D01	dev	工作线程都忙着，新任务只能排队	thread-pool	[thread-pool:1, thread-pool:2, thread-pool:4]	20	kafka-consumer-lag.md	5. 推荐排查顺序	kafka	4	0.4476993146301133
